,total_cup_points,species,country_of_origin,region,producer,farm_name,grading_date,variety,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture,category_one_defects,quakers,category_two_defects,altitude_mean_meters,certification_body,harvest_year
287,83.83,Arabica,Colombia,huila,unknown,unknown,"September 3rd, 2013",Caturra,7.67,7.58,7.58,7.83,7.58,7.67,10.0,10.0,10.0,7.92,0.11,0,0.0,1,1750.0,Almacafé,2013
288,83.83,Arabica,Guatemala,oriente,ROBERTO MONTERROSO,finca el morito,"April 26th, 2013",Bourbon,7.5,7.83,7.5,7.83,7.83,7.67,10.0,10.0,10.0,7.67,0.11,0,0.0,3,1310.64,Asociacion Nacional Del Café,2013
289,83.83,Arabica,Mexico,petatlan,FILEMON MENDOZA CAMPOS,predio cañada del encino,"July 26th, 2012",Bourbon,7.67,8.0,7.67,7.42,7.67,7.5,10.0,10.0,10.0,7.92,0.1,0,0.0,2,1218.0,AMECAFE,2012
290,83.83,Arabica,Mexico,"la concordia, chiapas",ERNST POHLENZ AGUILAR,finca santa teresa,"June 6th, 2012",Pacas,7.67,7.58,7.5,7.75,7.75,7.75,10.0,10.0,10.0,7.83,0.11,0,0.0,4,1300.0,AMECAFE,2012
291,83.83,Arabica,Brazil,carmo de minas,Nazareth Dias Pereira,fazenda do sertao,"December 21st, 2011",Yellow Bourbon,7.83,7.83,7.58,7.67,7.5,7.58,10.0,10.0,10.0,7.83,0.12,0,0.0,3,1250.0,NUCOFFEE,2011
292,83.83,Arabica,Thailand,"doi chaang village, chiang rai, thialand",Doi Chaang Community Enterprise Piko,"doi chaang coffee original co.,ltd","September 20th, 2011",Other,7.75,7.75,7.58,8.0,7.67,7.58,10.0,10.0,10.0,7.5,0.02,0,0.0,2,1499.9208,Specialty Coffee Association,2011
293,83.83,Arabica,Thailand,unknown,unknown,doi tung development project,"August 16th, 2011",Other,7.5,7.83,7.58,7.58,7.75,7.83,10.0,10.0,10.0,7.75,0.01,0,0.0,0,988.0,Specialty Coffee Association,2011
294,83.83,Arabica,Ethiopia,sidamo,Contact name | ATO Teshome Belamo,"phone number | 0911-51-08-01, email | at","June 17th, 2010",Gesha,7.58,7.83,7.58,8.0,7.83,7.5,10.0,10.0,10.0,7.5,0.1,0,0.0,3,1725.0,Ethiopia Commodity Exchange,2010
295,83.75,Arabica,Kenya,nyeri,KAROGOTO,unknown,"January 11th, 2018",SL28,7.75,7.58,7.5,7.58,7.75,7.75,10.0,10.0,10.0,7.83,0.11,0,0.0,2,1800.0,Kenya Coffee Traders Association,2018
296,83.75,Arabica,Brazil,south of minas,Ipanema Agricola S.A,fazenda capoeirnha,"October 20th, 2017",Bourbon,7.67,7.67,7.58,7.75,7.67,7.67,10.0,10.0,10.0,7.75,0.11,0,0.0,5,890.0,Brazil Specialty Coffee Association,2017
297,83.75,Arabica,Colombia,huila,FRANKLIN DUSSAN / HIPOLITO TORRES,unknown,"September 28th, 2017",Caturra,7.83,7.83,7.58,7.58,7.58,7.58,10.0,10.0,10.0,7.75,0.11,0,0.0,1,442.0,Almacafé,2017
298,83.75,Arabica,Taiwan,"台南市東山區 (dongshan dist., tainan city)",曾如楓 & 郭俊宏 (Tseng Ju Feng & Kuo Jun Hong),崁頭山咖啡館 (kan tou mountain coffee),"June 6th, 2017",Typica,7.67,7.67,7.58,7.58,7.67,7.83,10.0,10.0,10.0,7.75,0.0,0,0.0,0,750.0,Specialty Coffee Association,2016
299,83.75,Arabica,Colombia,huila,La Plata,unknown,"February 15th, 2017",Caturra,7.92,7.75,7.5,7.67,7.75,7.5,10.0,10.0,10.0,7.67,0.0,1,0.0,4,1574.0,Almacafé,2016
300,83.75,Arabica,China,yunnan,Pu’er Specialty Coffee Cupping Center,pu’er specialty coffee cupping center,"April 6th, 2016",Catimor,7.83,7.75,7.67,7.5,7.58,7.67,10.0,10.0,10.0,7.75,0.1,0,1.0,2,1650.0,Yunnan Coffee Exchange,2015
301,83.75,Arabica,Colombia,huila,FRANKLIN DUSSAN,unknown,"November 27th, 2015",Caturra,7.75,7.67,7.5,7.67,7.58,7.83,10.0,10.0,10.0,7.75,0.0,0,0.0,0,442.0,Almacafé,2015
302,83.75,Arabica,Uganda,west nile,Nile Highland Arabica Coffee Farmers,erussi farmers group,"June 30th, 2014",Bourbon,8.0,7.92,7.58,7.75,7.33,7.5,10.0,10.0,10.0,7.67,0.12,0,0.0,0,1400.0,Uganda Coffee Development Authority,2013
303,83.75,Arabica,Caribbean,yauco region,Hacienda Alto Grande,hacienda caracolillo,"June 9th, 2014",Other,7.83,7.83,7.83,7.67,8.0,8.17,9.33,9.33,10.0,7.75,0.12,0,0.0,1,853.44,Specialty Coffee Association,2013
304,83.75,Arabica,Colombia,huila,La Plata,unknown,"February 5th, 2014",Caturra,7.67,7.67,7.67,7.92,7.5,7.67,10.0,10.0,10.0,7.67,0.0,0,0.0,5,1775.0,Almacafé,2014
305,83.75,Arabica,Colombia,huila,unknown,unknown,"January 24th, 2014",Other,7.67,7.42,7.42,7.42,8.0,8.33,10.0,10.0,10.0,7.5,0.0,0,0.0,3,1550.0,Almacafé,2014
306,83.75,Arabica,Colombia,huila,unknown,unknown,"November 22nd, 2013",Caturra,7.58,7.67,7.75,7.67,7.67,7.67,10.0,10.0,10.0,7.75,0.0,0,0.0,1,1750.0,Almacafé,2013
307,83.75,Arabica,Colombia,huila,unknown,unknown,"August 27th, 2013",Caturra,7.75,7.67,7.75,7.58,7.42,8.0,10.0,10.0,10.0,7.58,0.11,0,0.0,3,1750.0,Almacafé,2013
308,83.75,Arabica,United States,kona,unknown,unknown,"May 2nd, 2013",Hawaiian Kona,7.25,7.42,7.67,7.58,7.83,8.25,10.0,10.0,10.0,7.75,0.0,0,0.0,0,518.0,Specialty Coffee Association,2013
309,83.75,Arabica,Mexico,"huazalingo, hidalgo","MARTINEZ MAGDALENA, AGAPITA",naranjal,"September 27th, 2012",Caturra,7.83,7.58,7.58,7.5,7.75,7.67,10.0,10.0,10.0,7.83,0.13,5,0.0,5,700.0,AMECAFE,2012
310,83.75,Arabica,Guatemala,quetzaltenango,Several producres,several farms,"May 24th, 2012",Caturra,7.67,7.58,7.58,7.67,7.75,7.75,10.0,10.0,10.0,7.75,0.11,0,0.0,1,1300.0,Specialty Coffee Association,2012
311,83.75,Arabica,Colombia,cauca,Carlos Peneche/Jesus Peneche/Flor Chacón,unknown,"April 20th, 2011",Caturra,7.83,7.83,7.58,7.33,7.42,7.67,10.0,10.0,10.0,8.08,0.1,0,0.0,1,1600.0,Almacafé,2011
312,83.75,Arabica,Colombia,cundinamarca,unknown,unknown,"February 9th, 2011",Caturra,7.75,7.67,7.25,7.25,7.58,8.5,10.0,10.0,10.0,7.75,0.06,0,0.0,1,1600.0,Almacafé,2010
313,83.75,Arabica,United States,kona,unknown,unknown,"June 29th, 2010",Hawaiian Kona,7.83,7.67,7.75,7.67,7.58,7.5,10.0,10.0,10.0,7.75,0.0,0,0.0,0,518.0,Specialty Coffee Association,2010
314,83.67,Arabica,Brazil,south of minas,Ipanema Agricola S.A,fazenda capoeirnha,"October 20th, 2017",Bourbon,7.67,7.83,7.5,7.67,7.67,7.5,10.0,10.0,10.0,7.83,0.11,0,0.0,2,890.0,Brazil Specialty Coffee Association,2017
315,83.67,Arabica,Kenya,meru county,NCHOROIBORO / KIRIANI FACTORY,unknown,"September 1st, 2017",SL28,8.08,7.67,7.67,7.58,7.25,7.67,10.0,10.0,10.0,7.75,0.11,0,0.0,0,1700.0,Kenya Coffee Traders Association,2017
316,83.67,Arabica,Honduras,comayagua,Reinerio Zepeda,los hicaques,"May 11th, 2017",Caturra,7.5,7.5,7.67,7.67,8.0,8.0,10.0,10.0,10.0,7.33,0.1,0,0.0,2,1400.0,Instituto Hondureño del Café,2016
317,83.67,Arabica,Nicaragua,jinotega,RONALDO LACAYO CARDENAL,santa matilde,"May 11th, 2017",Caturra,7.67,7.75,7.67,7.67,7.83,7.58,10.0,10.0,10.0,7.5,0.1,0,0.0,3,1250.0,Instituto Hondureño del Café,2016
318,83.67,Arabica,Brazil,south of minas,Ipanema Agricola,capoeirinha,"August 16th, 2016",Bourbon,7.58,7.75,7.58,7.75,7.58,7.58,10.0,10.0,10.0,7.83,0.11,0,2.0,3,934.0,Brazil Specialty Coffee Association,2016
319,83.67,Arabica,Taiwan,"leye, alishan township, chiayi county","FANG,ZHENG-LUN 方政倫",tsoustructive garden 鄒築園,"May 18th, 2016",Caturra,7.5,7.67,7.33,7.92,7.83,7.67,10.0,10.0,10.0,7.75,0.1,0,0.0,0,1200.0,Specialty Coffee Association,2015
320,83.67,Arabica,Costa Rica,west valley,unknown,unknown,"March 14th, 2016",Catuai,7.33,7.67,7.67,7.5,7.67,7.5,10.0,10.0,10.0,8.33,0.11,0,0.0,1,1350.0,Specialty Coffee Association of Costa Rica,2016
321,83.67,Arabica,Thailand,thailand,Doi Tung Development Project,unknown,"June 9th, 2015",Other,7.5,7.75,7.58,7.83,7.67,7.58,10.0,10.0,10.0,7.75,0.12,0,0.0,0,800.0,Specialty Coffee Association,2014
322,83.67,Arabica,Colombia,huila,Agrotello Coop,unknown,"November 21st, 2014",Caturra,7.5,7.75,7.5,7.75,7.67,7.67,10.0,10.0,10.0,7.83,0.11,0,0.0,4,1625.0,Specialty Coffee Association,2014
323,83.67,Arabica,Guatemala,huehuetenango,FRANCISCO LUIS MARTINEZ LOPEZ,finca las cuevitas,"February 27th, 2014",Bourbon,8.0,7.5,7.33,8.0,8.0,8.0,9.33,10.0,10.0,7.5,0.1,0,0.0,0,1356.6648,Asociacion Nacional Del Café,2014
324,83.67,Arabica,Colombia,huila supremo,unknown,various,"October 29th, 2013",Caturra,7.83,7.75,7.67,7.58,7.58,7.67,10.0,10.0,10.0,7.58,0.0,0,0.0,3,1750.0,Almacafé,2013
325,83.67,Arabica,Colombia,huila,Huila,unknown,"August 16th, 2013",Caturra,7.67,7.67,7.67,7.67,7.33,7.75,10.0,10.0,10.0,7.92,0.0,0,0.0,1,1900.0,Almacafé,2013
326,83.67,Arabica,Guatemala,oriente,"AGRICOLA MONTE VERDE, S.A.",la union monte verde,"May 30th, 2013",Bourbon,7.67,7.67,7.42,7.67,8.0,7.75,10.0,10.0,10.0,7.5,0.12,1,0.0,3,1310.64,Asociacion Nacional Del Café,2013
327,83.67,Arabica,Guatemala,oriente,LUIS RODRIGUEZ,el sacramento,"February 26th, 2013",Bourbon,7.83,7.67,7.33,7.67,7.67,7.83,10.0,10.0,10.0,7.67,0.11,0,0.0,2,1310.64,Asociacion Nacional Del Café,2013
328,83.67,Arabica,Colombia,huila,unknown,unknown,"November 22nd, 2012",Caturra,7.75,7.75,7.58,7.83,7.17,7.75,10.0,10.0,10.0,7.83,0.11,0,0.0,1,1750.0,Almacafé,2012
329,83.67,Arabica,Guatemala,oriente,Finca Quequesquez,finca quequesquez,"August 23rd, 2012",Caturra,8.17,8.17,7.83,7.67,8.08,7.75,9.33,9.33,9.33,8.0,0.11,0,0.0,1,1450.0,Specialty Coffee Association,2012
330,83.67,Arabica,Guatemala,oriente,AGROPECUARIA QUIAGRAL,agropecuaria quiagral,"July 9th, 2012",Bourbon,7.67,8.17,7.5,7.42,7.58,7.83,10.0,10.0,10.0,7.5,0.11,0,0.0,13,1310.64,Asociacion Nacional Del Café,2012
331,83.67,Arabica,Mexico,xicotepec de juarez,JUAN LUIS ORTEGA CARBALLO,finca apoxtla,"July 2nd, 2012",Typica,7.67,7.5,7.5,7.33,7.83,8.25,10.0,10.0,10.0,7.58,0.12,4,0.0,11,1100.0,AMECAFE,2012
332,83.67,Arabica,Southeast Asia,east java,PT. Perkebunan Nusantara XII,"ijen highland, east java","May 23rd, 2012",Typica,8.17,7.67,7.58,7.58,7.42,7.67,10.0,10.0,10.0,7.58,0.12,0,0.0,0,1400.0,Specialty Coffee Association of Indonesia,2012
333,83.67,Arabica,Guatemala,"sacatepequez, guatemala","SIEMBRAS VISION, S.A",finca medina,"April 30th, 2012",Caturra,7.67,7.5,7.33,8.0,7.67,7.67,10.0,10.0,10.0,7.83,0.1,0,0.0,0,1524.0,Asociacion Nacional Del Café,2012
334,83.67,Arabica,United States,unknown,unknown,unknown,"April 21st, 2011",Hawaiian Kona,7.75,8.0,7.92,8.08,7.75,8.0,9.33,9.33,9.33,8.17,0.0,0,0.0,0,988.0,Specialty Coffee Association,2011
335,83.58,Arabica,Brazil,south of minas,Ipanema Agricola S.A,fazenda capoeirnha,"October 20th, 2017",Bourbon,7.58,7.67,7.58,7.58,7.67,7.58,10.0,10.0,10.0,7.92,0.11,0,0.0,5,890.0,Brazil Specialty Coffee Association,2017
336,83.58,Arabica,Guatemala,huehuetenango,JUAN RAMIREZ MORALES,finca santa clara,"July 5th, 2016",Caturra,7.75,7.75,7.5,7.83,7.58,7.58,10.0,10.0,10.0,7.58,0.11,0,1.0,0,1128.3696,Asociacion Nacional Del Café,2016
337,83.58,Arabica,Colombia,huila,La Plata,unknown,"April 15th, 2016",Caturra,7.75,7.75,7.58,7.58,7.67,7.58,10.0,10.0,10.0,7.67,0.11,0,0.0,4,1574.0,Almacafé,2016
338,83.58,Arabica,China,yunnan,Menglian Mang Pan Professional Cooperative,menglian mang pan professional cooperative,"April 6th, 2016",Catimor,7.67,7.58,7.58,7.58,7.67,7.75,10.0,10.0,10.0,7.75,0.1,0,1.0,4,1100.0,Yunnan Coffee Exchange,2015
339,83.58,Arabica,Colombia,huila,La Plata,unknown,"November 19th, 2015",Caturra,7.67,7.75,7.58,7.67,7.75,7.58,10.0,10.0,10.0,7.58,0.12,0,0.0,3,1775.0,Almacafé,2015
340,83.58,Arabica,Mexico,"chiapas, jaltenango",Exportadora Café California,exportadora café california,"May 12th, 2015",Caturra,7.75,7.75,7.58,7.58,7.5,7.67,10.0,10.0,10.0,7.75,0.12,1,0.0,13,1200.0,Asociación Mexicana De Cafés y Cafeterías De Especialidad A.C.,2014
341,83.58,Arabica,Ethiopia,yirgacheffe,LevelUp,lomi tasha,"March 25th, 2015",Other,7.75,7.67,7.58,7.67,7.5,7.67,10.0,10.0,10.0,7.75,0.0,0,0.0,7,1850.0,Blossom Valley International,2014
342,83.58,Arabica,Uganda,eastern,Bulamburi coffee farmers association,bulamburi coffee farmers,"June 27th, 2014",SL14,7.67,7.67,7.42,7.75,7.75,7.67,10.0,10.0,10.0,7.67,0.12,0,0.0,5,1800.0,Uganda Coffee Development Authority,2013
343,83.58,Arabica,Colombia,cundinamarca,unknown,unknown,"June 24th, 2014",Caturra,7.67,7.58,7.67,7.67,7.67,7.67,10.0,10.0,10.0,7.67,0.0,0,0.0,0,1600.0,Almacafé,2014
344,83.58,Arabica,Colombia,santander,unknown,unknown,"March 13th, 2014",Caturra,7.67,7.58,7.67,7.58,7.67,7.75,10.0,10.0,10.0,7.67,0.12,0,0.0,1,1550.0,Almacafé,2014
345,83.58,Arabica,Colombia,santander,unknown,unknown,"March 21st, 2014",Caturra,7.75,7.58,7.5,7.58,7.75,7.83,10.0,10.0,10.0,7.58,0.0,0,0.0,0,1550.0,Almacafé,2014
346,83.58,Arabica,Taiwan,taichung xinshe 台中市新社區,Gu zhi min 古智閔,dragon coffee 龍咖啡,"December 26th, 2013",Typica,7.75,7.75,7.75,7.75,7.5,7.58,10.0,10.0,10.0,7.5,0.11,0,0.0,0,1000.0,Blossom Valley International,2013
347,83.58,Arabica,Colombia,huila,LA PLATA,unknown,"August 31st, 2012",Caturra,7.67,7.67,7.58,7.67,7.75,7.58,10.0,10.0,10.0,7.67,0.11,0,0.0,3,1775.0,Almacafé,2012
348,83.58,Arabica,Mexico,xalapa,JULIAN ALBERTO URRUTIA MOYA,ojo de agua,"June 6th, 2012",Typica,7.83,7.67,7.58,7.58,7.67,7.58,10.0,10.0,10.0,7.67,0.12,0,0.0,2,1000.0,AMECAFE,2012
349,83.58,Arabica,Colombia,cundinamarca,ORLANDO ORTIZ/WILSON SANCHEZ/GILBERTO ACOSTA,unknown,"April 2nd, 2012",Caturra,7.67,7.58,7.58,7.58,7.67,7.75,10.0,10.0,10.0,7.75,0.11,0,0.0,4,2136.0,Almacafé,2012
350,83.58,Arabica,Brazil,south of minas,Alvaro Resende Aguiar,fazenda jericó,"January 23rd, 2012",Catuai,7.83,7.75,7.5,7.75,7.5,7.58,10.0,10.0,10.0,7.67,0.12,0,0.0,2,1100.0,NUCOFFEE,2012
351,83.5,Arabica,Colombia,cundinamarca,Orlando Moreno / Willson Sanchez,unknown,"February 20th, 2017",Caturra,7.75,7.58,7.58,7.75,7.75,7.5,10.0,10.0,10.0,7.58,0.0,0,0.0,5,1799.0,Almacafé,2016
352,83.5,Arabica,Taiwan,unknown,黑咖啡道王憲備0912326001,南投縣魚池鄉水社村中正路63-1號,"February 13th, 2017",Typica,7.58,7.58,7.17,7.17,7.0,7.0,10.0,10.0,10.0,10.0,0.11,0,0.0,0,988.0,Blossom Valley International,2016
353,83.5,Arabica,Costa Rica,tarrazu,Martin Gutierrez,unknown,"June 6th, 2016",Caturra,7.92,7.42,7.5,7.67,7.5,7.67,10.0,10.0,10.0,7.83,0.0,0,0.0,0,1850.0,Specialty Coffee Association of Costa Rica,2015
354,83.5,Arabica,Colombia,pitalito,Mecias Urbano / Yaniver Alvarez,unknown,"April 7th, 2016",Caturra,7.75,7.58,7.58,7.5,7.75,7.75,10.0,10.0,10.0,7.58,0.0,0,0.0,0,1000.0,Almacafé,2016
355,83.5,Arabica,Guatemala,oriente,MARGARITA AVILA DE NUYENS,la esperanza,"March 16th, 2016",Bourbon,7.67,7.75,7.5,7.83,7.58,7.58,10.0,10.0,10.0,7.58,0.1,0,2.0,5,1219.2,Asociacion Nacional Del Café,2016
356,83.5,Arabica,Colombia,huila,La Plata,unknown,"November 19th, 2015",Caturra,7.58,7.58,7.58,7.58,7.75,7.67,10.0,10.0,10.0,7.75,0.12,0,0.0,4,1775.0,Almacafé,2015
357,83.5,Arabica,"Tanzania, United Republic Of",nkure- meru,Mr & Mrs Damari Absalome,ano family,"November 16th, 2015",Ruiru 11,7.75,7.67,7.58,7.67,7.67,7.58,10.0,10.0,10.0,7.58,0.13,0,0.0,21,1400.0,Africa Fine Coffee Association,2015
358,83.5,Arabica,Southeast Asia,bener meriah,Yusrin,yusrin,"September 14th, 2015",Sumatra,7.25,7.67,7.58,7.92,7.83,7.58,10.0,10.0,10.0,7.67,0.13,0,0.0,8,1500.0,Specialty Coffee Association,2015
359,83.5,Arabica,Ethiopia,oromia,Debesa,unknown,"March 31st, 2015",Other,7.67,7.75,7.5,7.58,7.75,7.67,10.0,10.0,10.0,7.58,0.1,1,0.0,18,1600.0,METAD Agricultural Development plc,2014
360,83.5,Arabica,Colombia,huila,unknown,unknown,"March 12th, 2015",Caturra,7.67,7.42,7.67,7.83,7.58,7.67,10.0,10.0,10.0,7.67,0.0,1,0.0,0,1574.0,Almacafé,2014
361,83.5,Arabica,Colombia,huila,unknown,unknown,"January 22nd, 2015",Caturra,8.0,7.58,7.25,7.58,7.92,7.58,10.0,10.0,10.0,7.58,0.11,0,0.0,0,1850.0,Almacafé,2014
362,83.5,Arabica,Guatemala,atitlan,UNEX,several,"December 18th, 2014",Caturra,7.58,7.75,7.5,7.83,7.42,7.67,10.0,10.0,10.0,7.75,0.1,0,0.0,0,1400.0,Specialty Coffee Association of Costa Rica,2013
363,83.5,Arabica,Colombia,cundinamarca,unknown,unknown,"August 11th, 2014",Caturra,7.75,7.58,7.33,7.5,7.83,7.83,10.0,10.0,10.0,7.67,0.0,2,0.0,0,1650.0,Almacafé,2014
364,83.5,Arabica,Honduras,comayagua,Reynerio Zepeda,los hicaques,"April 8th, 2014",Caturra,7.67,7.5,7.67,7.5,7.67,7.67,10.0,10.0,10.0,7.83,0.1,0,0.0,3,1350.0,Instituto Hondureño del Café,2014
365,83.5,Arabica,Colombia,huila,unknown,unknown,"April 26th, 2013",Caturra,7.58,7.75,7.42,7.67,7.75,7.67,10.0,10.0,10.0,7.67,0.0,1,0.0,1,1750.0,Almacafé,2013
366,83.5,Arabica,Colombia,huila,unknown,unknown,"May 24th, 2013",Caturra,7.58,7.67,7.58,7.75,7.58,7.75,10.0,10.0,10.0,7.58,0.11,0,0.0,2,1750.0,Almacafé,2013
367,83.5,Arabica,Mexico,xalapa,MANUEL HERRERA JUAREZ,finca los barreales 1112lban,"August 31st, 2012",Bourbon,7.83,7.58,7.25,7.5,7.5,7.42,10.0,10.0,10.0,8.42,0.13,0,0.0,14,1170.0,AMECAFE,2012
368,83.5,Arabica,Mexico,chilón,ARMANDO GUTIERREZ GUZMAN,unknown,"August 30th, 2012",Typica,7.67,7.75,7.67,7.75,7.58,7.5,10.0,10.0,10.0,7.58,0.11,0,0.0,12,940.0,AMECAFE,2012
369,83.5,Arabica,Mexico,totutla,GABRIEL BERNARD RIVAS ROSS,la corralera,"July 11th, 2012",Pacamara,7.75,7.67,7.67,7.75,7.33,7.5,10.0,10.0,10.0,7.83,0.12,0,0.0,0,1400.0,AMECAFE,2012
370,83.5,Arabica,Guatemala,atitlan,RNP SANTO TOMAS PACHUJ / KANEMATSU CORPORATION,santo tomas pachuj,"April 30th, 2012",Caturra,7.83,7.5,7.5,8.0,7.67,7.5,10.0,10.0,10.0,7.5,0.1,0,0.0,5,1524.0,Asociacion Nacional Del Café,2012
371,83.5,Arabica,Colombia,huila,La Plata,unknown,"February 9th, 2012",Caturra,7.67,7.58,7.58,7.67,7.67,7.67,10.0,10.0,10.0,7.67,0.11,0,0.0,0,1775.0,Almacafé,2012
372,83.5,Arabica,Guatemala,oriente,ConquistaMorito,conquista / morito,"February 1st, 2012",Bourbon,7.5,7.5,7.75,7.5,8.0,7.67,10.0,10.0,10.0,7.58,0.0,3,0.0,12,1402.08,Specialty Coffee Association,2012
373,83.5,Arabica,United States,unknown,unknown,unknown,"March 8th, 2011",Hawaiian Kona,7.5,7.67,7.58,7.92,7.58,7.67,10.0,10.0,10.0,7.58,0.01,0,0.0,0,988.0,Specialty Coffee Association,2011
374,83.5,Arabica,Southeast Asia,bondowoso,PT. PERKEBUNAN NUSANTARA XII,pancoer angkrek,"November 29th, 2010",Other,7.83,7.58,7.58,7.58,7.75,7.58,10.0,10.0,10.0,7.58,0.0,0,0.0,0,1600.0,Specialty Coffee Association of Indonesia,2010
375,83.42,Arabica,Colombia,huila,FRANKLIN DUSSAN / HIPOLITO TORRES,unknown,"November 9th, 2017",Caturra,7.5,7.58,7.58,7.5,7.75,7.83,10.0,10.0,10.0,7.67,0.0,0,2.0,1,439.0,Almacafé,2017
376,83.42,Arabica,Guatemala,san marcos,JORGE LEAL,piamonte,"August 23rd, 2017",Bourbon,7.67,7.75,7.5,7.58,7.58,7.67,10.0,10.0,10.0,7.67,0.1,0,0.0,3,1700.0,Asociacion Nacional Del Café,2017
377,83.42,Arabica,Colombia,huila,FRANKLIN DUSSAN / HIPOLOTO TORRES,unknown,"May 10th, 2017",Caturra,7.67,7.67,7.5,7.67,7.67,7.58,10.0,10.0,10.0,7.67,0.11,0,0.0,2,442.0,Almacafé,2016
378,83.42,Arabica,Costa Rica,tarrazu,Martin Gutierrez,gamboa,"February 17th, 2017",Caturra,7.58,7.5,7.42,7.92,7.5,7.67,10.0,10.0,10.0,7.83,0.09,0,0.0,4,1850.0,Specialty Coffee Association of Costa Rica,2016
379,83.42,Arabica,Taiwan,unknown,黃素貞0939227229,日月潭文武莊園,"February 13th, 2017",Typica,7.67,7.67,7.0,7.08,7.0,7.0,10.0,10.0,10.0,10.0,0.11,0,0.0,0,988.0,Blossom Valley International,2015
380,83.42,Arabica,Uganda,eastern,Bulago & Buginyanya,bulago & buginyanya,"July 21st, 2016",SL14,7.58,7.75,7.33,7.75,7.67,7.58,10.0,10.0,10.0,7.75,0.11,0,0.0,1,1800.0,Uganda Coffee Development Authority,2015
381,83.42,Arabica,Thailand,thailand,Matsuzawa Coffee,matsuzawa coffee,"June 27th, 2016",Catimor,7.5,7.58,7.75,7.5,7.75,7.67,10.0,10.0,10.0,7.67,0.13,0,0.0,0,1200.0,Specialty Coffee Institute of Asia,2015
382,83.42,Arabica,El Salvador,apaneca,"Ibero El Salvador, S.A. de C.V.",la joya,"April 25th, 2016",Bourbon,7.58,7.5,7.75,7.58,7.75,7.67,10.0,10.0,10.0,7.58,0.11,0,0.0,0,1330.0,Salvadoran Coffee Council,2016
383,83.42,Arabica,Colombia,huila,FRANKLIN DUSSAN/ANDRES RODRIGUEZ/HIPOLITO TORRES,unknown,"April 29th, 2015",Caturra,7.58,7.67,7.58,7.67,7.58,7.67,10.0,10.0,10.0,7.67,0.12,4,0.0,0,442.0,Almacafé,2015
384,83.42,Arabica,Brazil,vale da grama,GABRIEL CARVALHO DIAS,cachoeira da grama farm,"January 15th, 2015",Yellow Bourbon,7.33,7.83,7.75,7.5,7.42,7.83,10.0,10.0,10.0,7.75,0.12,0,0.0,6,1250.0,Brazil Specialty Coffee Association,2014
385,83.42,Arabica,"Tanzania, United Republic Of",karatu northern,Ngila Estate Ltd,ngila estate,"December 12th, 2014",Bourbon,7.75,7.67,7.58,7.67,7.58,7.58,10.0,10.0,10.0,7.58,0.13,0,0.0,4,1600.0,Africa Fine Coffee Association,2014
386,83.42,Arabica,Colombia,huila,unknown,unknown,"October 15th, 2014",Caturra,7.58,7.58,7.25,7.75,7.75,8.58,9.33,10.0,10.0,7.58,0.12,0,0.0,1,1813.0,Almacafé,2014
387,83.42,Arabica,Guatemala,oriente,AMILCAR LAPOLA,el papaturro,"August 21st, 2014",Bourbon,7.75,7.83,7.33,7.83,7.5,7.67,10.0,10.0,10.0,7.5,0.1,0,0.0,1,1219.2,Asociacion Nacional Del Café,2013
388,83.42,Arabica,Guatemala,antigua,"SIEMBRAS VISIÓN, S.A.",finca medina,"February 18th, 2014",Caturra,7.67,7.75,7.5,7.83,7.58,7.5,10.0,10.0,10.0,7.58,0.1,0,0.0,2,1500.0,Asociacion Nacional Del Café,2014
389,83.42,Arabica,Guatemala,oriente,ROBERTO MONTERROSO,el morito,"July 16th, 2013",Bourbon,7.67,7.5,7.75,7.42,7.75,7.75,10.0,10.0,10.0,7.58,0.11,0,0.0,0,1310.64,Asociacion Nacional Del Café,2013
390,83.42,Arabica,United States,kona,unknown,unknown,"January 24th, 2013",Hawaiian Kona,7.42,7.75,7.67,7.58,7.67,7.67,10.0,10.0,10.0,7.67,0.0,0,0.0,2,518.0,Specialty Coffee Association,2012
391,83.42,Arabica,Colombia,cundinamarca,Exportadora de cafe condor,various,"June 26th, 2012",Caturra,7.5,7.75,7.58,7.5,7.67,7.75,10.0,10.0,10.0,7.67,0.11,0,0.0,2,1450.0,Almacafé,2012
392,83.42,Arabica,Colombia,huila,unknown,unknown,"February 1st, 2011",Caturra,7.58,7.58,7.58,7.67,7.75,7.67,10.0,10.0,10.0,7.58,0.1,1,0.0,3,1574.0,Almacafé,2011
393,83.42,Arabica,United States,kona,Kona Pacific Farmers Co-Op,kona pacific farmers cooperative,"December 27th, 2010",Hawaiian Kona,7.5,7.92,7.42,7.67,7.83,7.58,10.0,10.0,10.0,7.5,0.01,0,0.0,0,518.0,Specialty Coffee Association,2010
394,83.42,Arabica,Thailand,unknown,Doi Tung Development Project,doi tung development project,"April 13th, 2010",Peaberry,7.58,7.25,7.5,7.92,7.92,7.42,10.0,10.0,10.0,7.83,0.11,0,0.0,0,800.0,Specialty Coffee Association,2010
395,83.38,Arabica,Mexico,nayarit,"Productores de Cafe de El Cuarenteno, S. de P.R. de R.L",unknown,"May 26th, 2010",Typica,7.25,7.88,7.38,7.63,7.5,8.75,9.0,10.0,10.0,8.0,0.09,2,0.0,4,1050.0,Specialty Coffee Association,2010
